DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/31/2016,9:56,,,,,,2 AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3589858,TAXI,PASSENGER VEHICLE,,,
12/31/2016,9:55,BRONX,10462,40.8352098,-73.8549717,"(40.8352098, -73.8549717)",UNIONPORT ROAD,OLMSTEAD AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Driver Inattention/Distraction,,,,3590568,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,9:50,,,,,,JESUP AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3589918,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,9:40,BROOKLYN,11225,40.6691137,-73.9533541,"(40.6691137, -73.9533541)",ROGERS AVENUE,UNION STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3593758,PASSENGER VEHICLE,,,,
12/31/2016,20:23,BROOKLYN,11209,40.6257805,-74.0241544,"(40.6257805, -74.0241544)",80 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Outside Car Distraction,,,,,3590802,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/31/2016,20:20,QUEENS,11375,40.719584,-73.8397723,"(40.719584, -73.8397723)",ASCAN AVENUE,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3589921,PASSENGER VEHICLE,,,,
12/31/2016,20:15,BROOKLYN,11204,,,,60 STREET,BAY PARKWAY,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3591509,PASSENGER VEHICLE,TAXI,PASSENGER VEHICLE,,
12/31/2016,20:10,,,40.6647944,-73.8204653,"(40.6647944, -73.8204653)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3589860,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,20:10,,,,,,69 STREET,37 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3589922,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/31/2016,20:05,BRONX,10457,40.8542925,-73.9002599,"(40.8542925, -73.9002599)",RYER AVENUE,EAST 181 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3589919,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,20:02,,,,,,FRANKLIN AVENUE,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3589943,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,20:00,,,,,,88 AVENUE,144 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3591631,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,20:00,MANHATTAN,10039,40.8300385,-73.9366228,"(40.8300385, -73.9366228)",,,2960      8 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3590539,PASSENGER VEHICLE,,,,
12/31/2016,20:00,MANHATTAN,10031,40.8245097,-73.9518505,"(40.8245097, -73.9518505)",WEST 142 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,3590707,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,20:00,BROOKLYN,11213,,,,ATLANTIC AVENUE,UTICA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3591758,PASSENGER VEHICLE,,,,
12/31/2016,20:00,BRONX,10459,40.8314683,-73.889139,"(40.8314683, -73.889139)",,,1455      VYSE AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3589927,MOTORCYCLE,,,,
12/31/2016,1:53,MANHATTAN,10019,40.7611268,-73.9869399,"(40.7611268, -73.9869399)",,,790       8 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590672,TAXI,PASSENGER VEHICLE,,,
12/31/2016,1:51,BRONX,10472,40.8302171,-73.8527241,"(40.8302171, -73.8527241)",,,2148      HAVILAND AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3590418,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
12/31/2016,1:50,BROOKLYN,11233,40.6790013,-73.9242018,"(40.6790013, -73.9242018)",,,1884      FULTON STREET,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3589901,PASSENGER VEHICLE,,,,
12/31/2016,1:40,,,,,,ULMER STREET,WHITESTONE EXPRESSWAY,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3589987,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,1:30,BROOKLYN,11211,,,,BEDFORD AVENUE,NORTH 9 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3589770,BICYCLE,TAXI,,,
12/31/2016,1:26,,,,,,BRUCKNER BOULEVARD,BRONX RIVER AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3590535,PASSENGER VEHICLE,,,,
12/31/2016,1:25,BRONX,10459,40.8238479,-73.8968586,"(40.8238479, -73.8968586)",INTERVALE AVENUE,EAST 165 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,3589720,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,1:25,,,,,,BOSTON ROAD,BOSTON ROAD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3590097,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/31/2016,1:20,,,,,,,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3589664,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/31/2016,1:20,,,,,,MURRAY STREET,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Unspecified,,,3589643,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
12/31/2016,1:20,BROOKLYN,11249,40.7192284,-73.9628969,"(40.7192284, -73.9628969)",KENT AVENUE,NORTH 5 STREET,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3589769,PASSENGER VEHICLE,TAXI,,,
12/31/2016,1:20,BROOKLYN,11228,40.6163135,-74.0008248,"(40.6163135, -74.0008248)",BAY RIDGE PARKWAY,16 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3591869,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,1:10,,,,,,DRIGGS AVENUE,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3589724,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,1:03,QUEENS,11367,40.7180285,-73.819881,"(40.7180285, -73.819881)",141 STREET,79 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3596695,PASSENGER VEHICLE,PICK-UP TRUCK,,,
12/31/2016,1:02,BROOKLYN,11226,40.6542311,-73.959567,"(40.6542311, -73.959567)",,,761       FLATBUSH AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3599007,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,1:00,,,,,,,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3589725,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,1:00,QUEENS,11378,40.7185226,-73.9083093,"(40.7185226, -73.9083093)",59 STREET,FLUSHING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3590406,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,1:00,MANHATTAN,10002,40.7166067,-73.9852712,"(40.7166067, -73.9852712)",,,157       BROOME STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,3589609,PASSENGER VEHICLE,,,,
12/31/2016,19:57,MANHATTAN,10034,40.867398,-73.9210332,"(40.867398, -73.9210332)",,,606       WEST 207 STREET,1,0,1,0,0,0,0,0,Unspecified,,,,,3590825,PASSENGER VEHICLE,,,,
12/31/2016,19:55,QUEENS,11432,40.7072929,-73.8042346,"(40.7072929, -73.8042346)",,,153-12    HILLSIDE AVENUE,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3595751,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,19:45,BROOKLYN,11207,40.679561,-73.8988988,"(40.679561, -73.8988988)",HIGHLAND BOULEVARD,FANCHON PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3589839,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,19:40,,,40.7301399,-73.926926,"(40.7301399, -73.926926)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Reaction to Other Uninvolved Vehicle,,,,3589887,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,19:40,,,40.7170347,-73.8220852,"(40.7170347, -73.8220852)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3589889,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
12/31/2016,19:40,QUEENS,11423,40.7104802,-73.7745575,"(40.7104802, -73.7745575)",,,90-65     185 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3594292,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,
12/31/2016,19:38,,,,,,CORTELYOU ROAD,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3591303,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,19:37,MANHATTAN,10001,40.7526874,-74.000527,"(40.7526874, -74.000527)",WEST 31 STREET,10 AVENUE,,1,0,1,0,0,0,0,0,,,,,,3590593,,,,,
12/31/2016,19:30,,,,,,DUMONT AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590531,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,19:22,,,,,,BARTOW AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3592701,TAXI,SPORT UTILITY / STATION WAGON,,,
12/31/2016,19:20,MANHATTAN,10065,40.7605353,-73.9583509,"(40.7605353, -73.9583509)",YORK AVENUE,EAST 62 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,3589851,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,19:20,BROOKLYN,11207,40.668801,-73.8838364,"(40.668801, -73.8838364)",,,540       ASHFORD STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3589837,PASSENGER VEHICLE,,,,
12/31/2016,19:15,,,,,,,,1100      SOUTH AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3590622,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,19:06,BROOKLYN,11210,40.6328856,-73.9476978,"(40.6328856, -73.9476978)",FLATBUSH AVENUE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3591283,PASSENGER VEHICLE,,,,
12/31/2016,19:00,,,,,,5 AVENUE,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Driver Inexperience,,,,3590689,PASSENGER VEHICLE,TAXI,,,
12/31/2016,18:50,QUEENS,11434,40.6807417,-73.7696248,"(40.6807417, -73.7696248)",174 PLACE,127 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,,,,3590030,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,18:43,QUEENS,11416,40.6886798,-73.8372287,"(40.6886798, -73.8372287)",97 AVENUE,107 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3593093,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
12/31/2016,18:40,QUEENS,11694,40.5766582,-73.8592301,"(40.5766582, -73.8592301)",CRONSTON AVENUE,BEACH 140 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3592127,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,18:39,MANHATTAN,10075,40.7700733,-73.9513989,"(40.7700733, -73.9513989)",YORK AVENUE,EAST 77 STREET,,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,,,,3589855,TAXI,BICYCLE,,,
12/31/2016,18:30,,,40.70892,-73.99706,"(40.70892, -73.99706)",,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3589811,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,18:30,,,40.687146,-73.8078122,"(40.687146, -73.8078122)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3590946,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,18:30,,,,,,WEST 140 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3592594,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
12/31/2016,18:30,,,,,,FOREST AVENUE,ORDELL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590297,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,18:30,BROOKLYN,11239,40.65317,-73.866875,"(40.65317, -73.866875)",GATEWAY DRIVE,ERSKINE STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3589838,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:28,,,,,,BAINBRIDGE AVENUE,,,1,0,1,0,0,0,0,0,,,,,,3590285,,,,,
12/31/2016,18:25,,,,,,HOWARD AVENUE,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3595220,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,18:20,,,,,,GRANITE STREET,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3590970,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,18:15,,,40.6076884,-74.1389164,"(40.6076884, -74.1389164)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3590658,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,18:13,BRONX,10463,40.8793258,-73.9055852,"(40.8793258, -73.9055852)",,,227       WEST 231 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590575,TAXI,PASSENGER VEHICLE,,,
12/31/2016,18:10,,,,,,EAST 54 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3590697,SPORT UTILITY / STATION WAGON,TAXI,,,
12/31/2016,18:10,BROOKLYN,11234,40.5965113,-73.9078755,"(40.5965113, -73.9078755)",FLATBUSH AVENUE,SHORE PARKWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3590566,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:05,BROOKLYN,11230,40.6314942,-73.9718517,"(40.6314942, -73.9718517)",OCEAN PARKWAY,NEWKIRK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3591273,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,,,,,,ATLANTIC AVENUE,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3592099,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
12/31/2016,18:00,,,,,,MERRICK BOULEVARD,218 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3589880,PASSENGER VEHICLE,,,,
12/31/2016,18:00,,,,,,JEROME AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3590915,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,QUEENS,11419,40.6910154,-73.8187388,"(40.6910154, -73.8187388)",,,102-12    127 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590585,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,QUEENS,11419,40.6862342,-73.8241748,"(40.6862342, -73.8241748)",LEFFERTS BOULEVARD,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3589914,TAXI,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,QUEENS,11375,40.7249661,-73.845503,"(40.7249661, -73.845503)",108 STREET,69 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,,,,3589861,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,18:00,BROOKLYN,11212,40.6580097,-73.9207657,"(40.6580097, -73.9207657)",EAST 94 STREET,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590258,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,17:55,BRONX,10468,40.8602661,-73.9016319,"(40.8602661, -73.9016319)",EAST 184 STREET,WALTON AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3589895,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:50,BROOKLYN,11229,40.6100983,-73.9613729,"(40.6100983, -73.9613729)",AVENUE P,EAST 12 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3591178,,,,,
12/31/2016,17:50,,,,,,RALPH AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3589907,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:50,QUEENS,11413,40.6497248,-73.7559115,"(40.6497248, -73.7559115)",,,230-79    ROCKAWAY BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3589881,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,17:50,QUEENS,11106,40.7594573,-73.9358814,"(40.7594573, -73.9358814)",36 AVENUE,22 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590001,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:45,BRONX,10470,40.8953759,-73.8635575,"(40.8953759, -73.8635575)",EAST 233 STREET,WEBSTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590140,PICK-UP TRUCK,,,,
12/31/2016,17:40,,,,,,210 STREET,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3589871,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:30,,,40.6399995,-74.0244118,"(40.6399995, -74.0244118)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590054,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/31/2016,17:30,,,,,,GRAND ARMY PLAZA,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3590696,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
12/31/2016,17:30,QUEENS,11418,40.7042121,-73.8369635,"(40.7042121, -73.8369635)",PARK LANE SOUTH,115 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Backing Unsafely,,,,3590557,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:30,QUEENS,11354,40.764651,-73.823484,"(40.764651, -73.823484)",PARSONS BOULEVARD,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3589953,PASSENGER VEHICLE,,,,
12/31/2016,17:30,QUEENS,11106,40.7624223,-73.9194033,"(40.7624223, -73.9194033)",,,36-01     31 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3590002,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:30,MANHATTAN,10012,40.7259426,-74.0007685,"(40.7259426, -74.0007685)",,,444       WEST BROADWAY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590712,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:30,BROOKLYN,11229,40.5948543,-73.9556493,"(40.5948543, -73.9556493)",EAST 15 STREET,GRAVESEND NECK ROAD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3591791,PASSENGER VEHICLE,,,,
12/31/2016,17:30,BROOKLYN,11213,40.672703,-73.93635,"(40.672703, -73.93635)",TROY AVENUE,PARK PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3592664,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:30,BROOKLYN,11209,40.6250475,-74.0244495,"(40.6250475, -74.0244495)",81 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3590052,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,17:26,,,,,,GLENMORE AVENUE,,,1,0,1,0,0,0,0,0,Driver Inexperience,,,,,3589835,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:20,MANHATTAN,10069,40.7741151,-73.988627,"(40.7741151, -73.988627)",WEST 63 STREET,WEST END AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3589885,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:20,,,,,,FOREST AVENUE,UNION AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3590994,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
12/31/2016,17:19,,,,,,EAST 86 STREET,,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3589910,PASSENGER VEHICLE,,,,
12/31/2016,17:13,BRONX,10465,40.8285193,-73.8411794,"(40.8285193, -73.8411794)",BRUCKNER BOULEVARD,BRUSH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3591318,TAXI,PASSENGER VEHICLE,,,
